pn('pnoise) X,pn('pnoise) Y
100,22.54111405738144
112.2018456459045,21.00884988152249
125.8925414085388,19.47693349382128
141.2537546157837,17.94537123781755
158.4893193244934,16.41416965785442
177.8279409408569,14.88333552600724
199.5262312889099,13.35287583856599
223.8721137046814,11.82279784538687
251.1886429786682,10.29310911612563
281.8382930755615,8.76381751110099
316.2277660369873,7.2349312711375
354.8133893013,5.706459024621363
398.1071705818176,4.17840985065094
446.6835923194885,2.650793317605015
501.1872334480286,1.123619582021735
562.3413252830505,-0.4031006219838992
630.9573445320129,-1.929355801776961
707.9457845687866,-3.455133712106861
794.3282346725464,-4.980421200908161
891.2509379386902,-6.505204141614396
1000,-8.029467286457848
1122.01845407486,-9.553194122734913
1258.925411701202,-11.07636675355266
1412.537544727325,-12.598965691061
1584.89319229126,-14.12096967802062
1778.279409885406,-15.64235548395603
1995.262314796448,-17.16309764283903
2238.721138477325,-18.68316819743736
2511.886431694031,-20.20253639425661
2818.382931232452,-21.72116834468582
3162.277660369873,-23.23902666391348
3548.133892536163,-24.75607003880704
3981.071705341339,-26.27225277732055
4466.835921287537,-27.78752429648102
5011.872336387634,-29.30182854898712
5623.413251876831,-30.81510339837188
6309.573444843292,-32.32727993358822
7079.457843780518,-33.83828170243673
7943.282347202301,-35.34802388200694
8912.50938129425,-36.85641236452351
10000,-38.36334276508838
11220.18454313278,-39.86869934341749
12589.2541179657,-41.37235383870602
14125.37544631958,-42.87416422021599
15848.93192481995,-44.37397335033662
17782.79410028458,-45.87160757024745
19952.62314987183,-47.36687521495482
22387.21138572693,-48.85956506690638
25118.86431503296,-50.3494447735934
28183.82931280136,-51.83625924735072
31622.77660179138,-53.31972908240481
35481.33892345428,-54.79954903204936
39810.71705532074,-56.27538659405477
44668.35921525955,-57.74688076877416
50118.72336292267,-59.21364106286698
56234.13251924515,-60.67524682583886
63095.73444795609,-62.1312470145288
70794.57843828201,-63.5811604950766
79432.82347249985,-65.02447699541645
89125.09381341934,-66.46065882687056
100000,-67.88914349072492
112201.8454303741,-69.30934727334973
125892.5411791801,-70.72066991658497
141253.7544622421,-72.12250041860804
158489.3192462921,-73.51422397579059
177827.9410037994,-74.89523002694446
199526.2314968109,-76.2649212938308
223872.1138567924,-77.62272363941909
251188.6431508064,-78.96809649565363
281838.2931265831,-80.30054353688912
316227.7660169601,-81.61962321748007
354813.3892335892,-82.92495875112201
398107.1705536842,-84.21624708904028
446683.592151165,-85.4932664735428
501187.2336273193,-86.75588218571258
562341.3251905441,-88.00405018649202
630957.3444800377,-89.2378184547407
707945.7843842506,-90.45732594906674
794328.2347240448,-91.66279924765888
891250.9381337166,-92.85454704773359
1000000,-94.03295281108016
1122018.454301834,-95.19846592659917
1258925.411794186,-96.35159181172716
1412537.544622898,-97.49288139208463
1584893.192461014,-98.62292038834403
1778279.410038948,-99.7423187986027
1995262.314969063,-100.8517009072742
2238721.138568401,-101.9516960828797
2511886.431509495,-103.0429305497362
2818382.9312644,-104.1260202507315
3162277.660168171,-105.2015648483689
3548133.892335892,-106.270142859365
3981071.705534935,-107.3323078703649
4466835.921509743,-108.388585753528
5011872.336272717,-109.439472776874
5623413.251903534,-110.4854344928715
6309573.444801807,-111.5269052860507
7079457.843841553,-112.5642884591293
7943282.347242832,-113.5979567471942
8912509.381337166,-114.6282531563686
10000000,-115.6554920315578
11220184.54301977,-116.6799602714181
12589254.11794138,-117.7019186170824
14125375.44622755,-118.7216029492809
15848931.92461109,-119.7392255360117
17782794.100389,-120.7549761782757
19952623.14968872,-121.7690232035643
22387211.38568306,-122.78151425825
25118864.31509542,-123.7925768452652
28183829.31264448,-124.8023185512514
31622776.60168362,-125.8108268942104
35481338.92335701,-126.8181687128057
39810717.05534935,-127.8243889959987
44668359.215096,-128.8295090283746
50118723.36272669,-129.8335236920944
56234132.51903439,-130.8363977219242
63095734.44801855,-131.8380606510494
70794578.43841314,-132.8384001094522
79432823.47242737,-133.837253037519
89125093.81337357,-134.8343942477637
99999999.99999905,-135.829521599746
112201845.4301953,-136.8222368415157
125892541.1794157,-137.8120209026524
141253754.4622741,-138.7982021127365
158489319.24611,-139.7799154707196
177827941.0038905,-140.7560507844101
199526231.4968858,-141.72518736049
223872113.8568316,-142.6855132390959
251188643.1509557,-143.6347282061881
281838293.1264424,-144.5699327335046
316227766.0168347,-145.4875105682871
354813389.233572,-146.3830218676401
398107170.553493,-147.2511366700256
446683592.1509585,-148.0856530186275
501187233.6272669,-148.8796541151785
562341325.1903429,-149.6258538175369
630957344.4801865,-150.3171476430282
707945784.3841305,-150.9473231209775
794328234.7242727,-151.5118044943702
891250938.1337357,-152.0082502411383
1000000000,-152.4368288405619
