pn('pnoise) X,pn('pnoise) Y
100,23.01715160364922
112.2018456459045,21.48136118523696
125.8925414085388,19.94586348347928
141.2537546157837,18.41066457303113
158.4893193244934,16.8757707615761
177.8279409408569,15.34118861845957
199.5262312889099,13.80692497521222
223.8721137046814,12.27298695759504
251.1886429786682,10.73938205569295
281.8382930755615,9.206118099228931
316.2277660369873,7.673203351715704
354.8133893013,6.140646522433922
398.1071705818176,4.608456835865068
446.6835923194885,3.076644076289965
501.1872334480286,1.545218693910163
562.3413252830505,0.01419180247282372
630.9573445320129,-1.516424630638528
707.9457845687866,-3.046617780695765
794.3282346725464,-4.57637379880699
891.2509379386902,-6.105677732385312
1000,-7.634513363139568
1122.01845407486,-9.16286304689082
1258.925411701202,-10.69070757613926
1412.537544727325,-12.21802595184242
1584.89319229126,-13.74479518135013
1778.279409885406,-15.27099004814863
1995.262314796448,-16.79658281955153
2238.721138477325,-18.32154295663906
2511.886431694031,-19.8458367718961
2818.382931232452,-21.36942704703329
3162.277660369873,-22.89227262459701
3548.133892536163,-24.41432792150878
3981.071705341339,-25.93554241921811
4466.835921287537,-27.45586008477986
5011.872336387634,-28.97521872304048
5623.413251876831,-30.49354926946218
6309.573444843292,-32.01077501463667
7079.457843780518,-33.52681073742377
7943.282347202301,-35.04156176623923
8912.50938129425,-36.5549229465542
10000,-38.06677752037034
11220.18454313278,-39.57699591064049
12589.2541179657,-41.08543441139815
14125.37544631958,-42.59193378479517
15848.93192481995,-44.09631776775802
17782.79410028458,-45.59839149762069
19952.62314987183,-47.09793987062334
22387.21138572693,-48.59472584469565
25118.86431503296,-50.0884887213514
28183.82931280136,-51.57894243176895
31622.77660179138,-53.06577387308691
35481.33892345428,-54.54864134965676
39810.71705532074,-56.0271731830376
44668.35921525955,-57.5009665699526
50118.72336292267,-58.96958678170013
56234.13251924515,-60.43256680868816
63095.73444795609,-61.88940756859441
70794.57843828201,-63.33957880268605
79432.82347249985,-64.78252079263625
89125.09381341934,-66.2176470246586
100000,-67.64434792293193
112201.8454303741,-69.06199574698849
125892.5411791801,-70.46995072172379
141253.7544622421,-71.86756841742249
158489.3192462921,-73.25420834012297
177827.9410037994,-74.62924362097888
199526.2314968109,-75.99207161256649
223872.1138567924,-77.34212511658045
251188.6431508064,-78.678883887583
281838.2931265831,-80.00188598962643
316227.7660169601,-81.31073853490255
354813.3892335892,-82.60512731625769
398107.1705536842,-83.88482486066856
446683.592151165,-85.14969648710576
501187.2336273193,-86.39970404025408
562341.3251905441,-87.63490709322696
630957.3444800377,-88.85546155019119
707945.7843842506,-90.06161572729249
794328.2347240448,-91.25370412683067
891250.9381337166,-92.43213923891588
1000000,-93.59740179429879
1122018.454301834,-94.75002994079296
1258925.411794186,-95.89060783286473
1412537.544622898,-97.0197541033891
1584893.192461014,-98.1381106370189
1778279.410038948,-99.24633199528316
1995262.314969063,-100.3450757657487
2238721.138568401,-101.4349940201777
2511886.431509495,-102.5167259906002
2818382.9312644,-103.5908919980344
3162277.660168171,-104.6580886121949
3548133.892335892,-105.7188849753773
3981071.705534935,-106.7738201888245
4466835.921509743,-107.8234016442931
5011872.336272717,-108.8681041695572
5623413.251903534,-109.9083698598238
6309573.444801807,-110.9446084686842
7079457.843841553,-111.9771982425515
7943282.347242832,-113.0064870966818
8912509.381337166,-114.0327940390353
10000000,-115.0564107695584
11220184.54301977,-116.0776033865417
12589254.11794138,-117.0966141532187
14125375.44622755,-118.1136632824674
15848931.92461109,-119.1289507085912
17782794.100389,-120.1426578302613
19952623.14968872,-121.1596459547977
22387211.38568306,-122.1706700548676
25118864.31509542,-123.1805643964219
28183829.31264448,-124.1894522348141
31622776.60168362,-125.1974461079797
35481338.92335749,-126.2046492321347
39810717.05534935,-127.211156847403
44668359.215096,-128.2170575010573
50118723.36272669,-129.2224342513932
56234132.51903439,-130.2273657512729
63095734.44801855,-131.2319271312009
70794578.43841314,-132.2361905404772
79432823.47242737,-133.2402251168375
89125093.81337357,-134.2440960008669
99999999.99999905,-135.2478618097001
112201845.4301953,-136.2515696727725
125892541.1794157,-137.2552465109262
141253754.4622741,-138.2588846981854
158489319.24611,-139.2624195809938
177827941.0038905,-140.2656956363389
199526231.4968858,-141.2661666777223
223872113.8568316,-142.2685926849318
251188643.1509557,-143.2693021381146
281838293.1264424,-144.2670424072827
316227766.0168347,-145.2599540273974
354813389.233572,-146.2453923814269
398107170.553493,-147.2197511175034
446683592.1509585,-148.1783188158335
501187233.6272669,-149.1152080591648
562341325.1903434,-150.0233966489843
630957344.4801865,-150.8949134557836
707945784.3841305,-151.7211884097321
794328234.7242732,-152.4911024383919
891250938.1337361,-153.2003600790294
1000000000,-153.8406229727744
