Frequency,PhaseNoise
100,-99.19732572
101.8009751,-99.44445583
103.6343854,-100.4727631
105.5008148,-100.7220638
107.4008583,-99.88348382
109.335121,-100.1342572
111.3042193,-100.7628251
113.3087806,-101.0902621
115.3494436,-100.4702831
117.4268583,-100.8592869
119.5416868,-98.73839151
121.6946029,-99.12712632
123.8862924,-99.84081658
126.1174537,-99.95911928
128.3887977,-100.3575858
130.701048,-100.5173469
133.0549413,-100.6683598
135.4512277,-101.0638589
137.8906706,-101.299918
140.3740473,-103.5325199
142.9021489,-103.9091237
145.4757811,-103.6093889
148.0957637,-104.9419036
150.7629316,-105.3060661
153.4781344,-104.4508037
156.2422375,-103.525356
159.0561213,-103.2873994
161.9206824,-103.6174088
164.8368336,-103.4843657
167.805504,-104.8145059
170.8276394,-105.2336914
173.9042027,-104.2844887
177.0361741,-104.6043269
180.2245515,-104.4700848
183.4703509,-104.3186618
186.7746062,-105.1443249
190.1383704,-104.5671431
193.5627151,-103.9886573
197.0487315,-105.0506597
200.5975301,-107.0029483
204.2102417,-107.0316825
207.8880174,-107.4628083
211.6320288,-108.803826
215.443469,-105.149793
219.3235523,-105.2115386
223.2735149,-106.1749261
227.2946153,-108.7288478
231.3881348,-107.4102428
235.5553775,-105.5376469
239.7976713,-107.6522587
244.1163677,-108.4769465
248.5128427,-107.0200936
252.9884972,-107.3181238
257.544757,-106.9978633
262.183074,-106.748789
266.904926,-107.1194697
271.7118173,-108.2230994
276.6052795,-108.5526083
281.5868718,-108.024948
286.6581812,-108.4699379
291.8208238,-108.2719856
297.0764442,-107.6712024
302.426717,-108.1011033
307.873347,-108.6772314
313.4180693,-107.7664566
319.0626508,-108.2939937
324.8088897,-108.9128191
330.658617,-110.1344695
336.6136964,-111.0192545
342.6760253,-109.4927919
348.8475353,-107.5336649
355.1301926,-109.2138471
361.525999,-109.7781779
368.0369923,-108.9766469
374.665247,-109.0555128
381.4128748,-111.0687212
388.2820258,-110.9906365
395.2748885,-108.514871
402.3936909,-110.9037173
409.6407011,-111.4614443
417.0182282,-112.9637679
424.5286227,-110.0811364
432.1742776,-109.2872596
439.9576288,-111.7929806
447.8811562,-112.0842964
455.9473844,-112.6800679
464.1588834,-110.2496395
472.5182694,-110.8047509
481.0282058,-110.3631764
489.6914041,-110.9750914
498.5106245,-112.9587649
507.4886768,-111.6147107
516.6284216,-111.5478557
525.9327709,-112.9485013
535.4046892,-111.1378316
545.0471945,-112.3659127
554.8633588,-113.0491448
564.8563098,-112.7385864
575.0292314,-112.618645
585.3853648,-111.0130581
595.9280096,-111.2806267
606.6605248,-112.6171151
617.5863299,-114.7535414
628.708906,-113.6375444
640.031797,-112.8573192
651.5586104,-113.486704
663.2930188,-115.5062651
675.238761,-112.4470875
687.3996431,-113.3463496
699.7795397,-113.8933883
712.382395,-113.1317385
725.2122247,-112.6060726
738.2731164,-114.1803753
751.5692316,-114.627492
765.1048064,-115.8137816
778.8841536,-115.1605615
792.9116634,-114.2908211
807.1918052,-115.1782641
821.7291288,-113.9917153
836.5282659,-115.2781115
851.5939318,-114.8378757
866.9309266,-115.3516918
882.5441369,-113.4114201
898.4385372,-114.5635819
914.6191917,-114.8333477
931.0912558,-114.421409
947.8599777,-114.0187216
964.9307,-115.8215524
982.3088618,-115.1648595
1000,-115.6538532
1018.009751,-115.8272576
1036.343854,-115.2704168
1055.008148,-114.9563343
1074.008583,-115.7103146
1093.35121,-114.8431904
1113.042193,-115.5576912
1133.087806,-115.9587636
1153.494436,-114.5475126
1174.268583,-116.7952513
1195.416868,-114.9489045
1216.946029,-114.8113003
1238.862924,-116.7377592
1261.174537,-116.5468195
1283.887977,-116.0511642
1307.01048,-116.5997474
1330.549413,-116.1823152
1354.512277,-115.3577968
1378.906706,-116.7141453
1403.740473,-116.8823644
1429.021489,-115.8919432
1454.757811,-117.513035
1480.957637,-116.4383073
1507.629316,-116.5690317
1534.781344,-115.8682891
1562.422375,-116.888173
1590.561213,-116.7719136
1619.206824,-117.0648185
1648.368336,-117.2331568
1678.05504,-116.7855186
1708.276394,-116.9894944
1739.042027,-117.0398482
1770.361741,-116.8086888
1802.245515,-117.3674655
1834.703509,-117.8116157
1867.746062,-117.1504236
1901.383704,-117.0989981
1935.627151,-117.6387874
1970.487315,-117.4444859
2005.975301,-117.6404986
2042.102417,-117.7881594
2078.880174,-117.7971198
2116.320288,-118.3256245
2154.43469,-117.7826977
2193.235523,-117.2379903
2232.735149,-117.5661577
2272.946153,-118.5915506
2313.881348,-118.0531499
2355.553775,-118.4466866
2397.976713,-118.4765656
2441.163677,-118.8329595
2485.128427,-118.8494489
2529.884972,-118.6812053
2575.44757,-119.2733704
2621.83074,-120.0060651
2669.04926,-119.3171979
2717.118173,-118.7824293
2766.052795,-118.6550292
2815.868718,-119.0998338
2866.581812,-119.306136
2918.208238,-119.049114
2970.764442,-118.5783357
3024.26717,-118.9307708
3078.73347,-119.3107216
3134.180693,-119.1080436
3190.626508,-119.7020147
3248.088897,-119.2433795
3306.58617,-119.5404304
3366.136964,-119.2386153
3426.760253,-119.164234
3488.475353,-118.8912414
3551.301926,-120.2486565
3615.25999,-119.7066636
3680.369923,-119.9238725
3746.65247,-119.5604904
3814.128748,-120.0759703
3882.820258,-119.4186213
3952.748885,-119.7579528
4023.936909,-120.1483737
4096.407011,-120.6987401
4170.182282,-120.2657288
4245.286227,-120.3946413
4321.742776,-120.6036803
4399.576288,-119.8652585
4478.811562,-119.957071
4559.473844,-120.3245536
4641.588834,-119.8168256
4725.182694,-120.2550763
4810.282058,-120.2931586
4896.914041,-120.6174802
4985.106245,-120.7538895
5074.886768,-120.5551966
5166.284216,-120.6558068
5259.327709,-120.4529645
5354.046892,-120.9221234
5450.471945,-121.1932042
5548.633588,-120.8198169
5648.563098,-120.500178
5750.292314,-121.3378724
5853.853648,-121.2664827
5959.280096,-120.9563022
6066.605248,-121.2009737
6175.863299,-121.9162261
6287.08906,-121.136131
6400.31797,-121.1414334
6515.586104,-121.351558
6632.930188,-121.5732106
6752.38761,-121.486978
6873.996431,-121.4883579
6997.795397,-121.4518079
7123.82395,-121.755828
7252.122247,-121.389087
7382.731164,-121.3875176
7515.692316,-121.1812401
7651.048064,-121.645121
7788.841536,-121.7972272
7929.116634,-121.8554662
8071.918052,-122.1246292
8217.291288,-122.0154648
8365.282659,-122.1320399
8515.939318,-122.2941801
8669.309266,-121.8203673
8825.441369,-122.2320118
8984.385372,-122.4221384
9146.191917,-122.6992408
9310.912558,-122.5949983
9478.599777,-122.6041726
9649.307,-122.6672531
9823.088618,-122.4662326
10000,-122.9158069
10180.09751,-122.7895703
10363.43854,-122.8576564
10550.08148,-122.6688903
10740.08583,-123.0287834
10933.5121,-123.2990759
11130.42193,-123.0430187
11330.87806,-123.1967904
11534.94436,-123.0419135
11742.68583,-122.9054908
11954.16868,-123.067779
12169.46029,-122.980394
12388.62924,-123.3726853
12611.74537,-123.1151643
12838.87977,-123.1974668
13070.1048,-123.5309043
13305.49413,-123.5157859
13545.12277,-123.5002184
13789.06706,-123.6460428
14037.40473,-123.6824764
14290.21489,-123.6695037
14547.57811,-123.5346682
14809.57637,-123.5654451
15076.29316,-123.8385944
15347.81344,-123.8817481
15624.22375,-123.9816481
15905.61213,-123.7672752
16192.06824,-123.7492099
16483.68336,-124.0275371
16780.5504,-124.2175861
17082.76394,-124.1893851
