pn('pnoise) X,pn('pnoise) Y
100,24.31487536028637
112.2018456459045,22.78209035466716
125.8925414085388,21.24964437386016
141.2537546157837,19.71754359346222
158.4893193244934,18.18579437659076
177.8279409408569,16.65440329836529
199.5262312889099,15.12337714025266
223.8721137046814,13.59272291695041
251.1886429786682,12.0624479398113
281.8382930755615,10.53255978454875
316.2277660369873,9.003066377417049
354.8133893013,7.473975998295175
398.1071705818176,5.945297339063734
446.6835923194885,4.417039537574359
501.1872334480286,2.889212270536948
562.3413252830505,1.361825736201508
630.9573445320129,-0.1651091713385462
707.9457845687866,-1.691580876420874
794.3282346725464,-3.217576976567596
891.2509379386902,-4.74308418473175
1000,-6.268088194143099
1122.01845407486,-7.792573546769257
1258.925411701202,-9.3165235284115
1412.537544727325,-10.83991997718483
1584.89319229126,-12.36274312272503
1778.279409885406,-13.88497140133019
1995.262314796448,-15.40658121539729
2238.721138477325,-16.92754670087378
2511.886431694031,-18.44783944892868
2818.382931232452,-19.96742819563112
3162.277660369873,-21.48627849267804
3548.133892536163,-23.00435231054146
3981.071705341339,-24.52160762556642
4466.835921287537,-26.0379979498979
5011.872336387634,-27.5534718036967
5623.413251876831,-29.06797213920143
6309.573444843292,-30.58143570809851
7079.457843780518,-32.09379235214855
7943.282347202301,-33.60496423313692
8912.50938129425,-35.11486498285232
10000,-36.62339877683522
11220.18454313278,-38.13045932452172
12589.2541179657,-39.63592877333595
14125.37544631958,-41.1396765282321
15848.93192481995,-42.64155798091985
17782.79410028458,-44.14141315736031
19952.62314987183,-45.63906528704279
22387.21138572693,-47.13431929793657
25118.86431503296,-48.62696026138968
28183.82931280136,-50.11675179521536
31622.77660179138,-51.60343445778991
35481.33892345428,-53.08672416579264
39810.71705532074,-54.56631067673194
44668.35921525955,-56.04185619122829
50118.72336292267,-57.51299413899729
56234.13251924515,-58.97932822476078
63095.73444795609,-60.44043182245544
70794.57843828201,-61.89584781718508
79432.82347249985,-63.3450890039806
89125.09381341934,-64.7876391599259
100000,-66.22295490912363
112201.8454303741,-67.65046849296637
125892.5411791801,-69.06959155175312
141253.7544622421,-70.47971999790437
158489.3192462921,-71.88024002917621
177827.9410037994,-73.27053528918087
199526.2314968109,-74.64999512047559
223872.1138567924,-76.01802379524982
251188.6431508064,-77.37405053273416
281838.2931265831,-78.71754003728206
316227.7660169601,-80.0480032236722
354813.3892335892,-81.36500773673183
398107.1705536842,-82.66818783241914
446683.592151165,-83.957253180734
501187.2336273193,-85.23199616340472
562341.3251905441,-86.49229729987944
630957.3444800377,-87.7381285126886
707945.7843842506,-88.96955405550958
794328.2347240448,-90.18672905319386
891250.9381337166,-91.38989573238621
1000000,-92.57937754276091
1122018.454301834,-93.7555714782425
1258925.411794186,-94.91893897974589
1412537.544622898,-96.06999585102827
1584893.192461014,-97.20930163077261
1778279.410038948,-98.33744884475024
1995262.314969063,-99.45505252201677
2238721.138568401,-100.5627402957194
2511886.431509495,-101.6611433372743
2818382.9312644,-102.7508883003119
3162277.660168171,-103.8325903767408
3548133.892335892,-104.9068475033019
3981071.705534935,-105.9742357054016
4466835.921509743,-107.0353055202021
5011872.336272717,-108.0905794122328
5623413.251903534,-109.1405500763232
6309573.444801807,-110.1856795099743
7079457.843841553,-111.2263987388153
7943282.347242832,-112.2631080796153
8912509.381337166,-113.2961778332287
10000000,-114.3259493117004
11220184.54301977,-115.3527361148082
12589254.11794138,-116.3768255812891
14125375.44622755,-117.39848035623
15848931.92461109,-118.4179400245328
17782794.100389,-119.4354227692819
19952623.14968872,-120.4511270287752
22387211.38568306,-121.4652331275396
25118864.31509542,-122.4779048685734
28183829.31264448,-123.489291078711
31622776.60168362,-124.4995271026673
35481338.92335749,-125.5087362492283
39810717.05534935,-126.5170311945392
44668359.215096,-127.5245153499824
50118723.36272669,-128.5312842073816
56234132.51903439,-129.5374266706384
63095734.44801855,-130.5430263872647
70794578.43841314,-131.5481630847923
79432823.47242737,-132.552913910919
89125093.81337357,-133.5573547589711
99999999.99999905,-134.561561530418
112201845.4301953,-135.5656112364348
125892541.1794157,-136.554914254315
141253754.4622741,-137.558850161407
158489319.24611,-138.577615625362
177827941.0038905,-139.5818383916744
199526231.4968858,-140.586296386973
223872113.8568316,-141.5910405377788
251188643.1509557,-142.5960815913649
281838293.1264424,-143.6013575447933
316227766.0168347,-144.6066825273857
354813389.233572,-145.6116693263805
398107170.553493,-146.6004678534116
446683592.1509585,-147.6173471319204
501187233.6272669,-148.6149998688774
562341325.1903434,-149.6057566454504
630957344.4801865,-150.5841351952926
707945784.3841305,-151.547445026732
794328234.7242732,-152.4866152017441
891250938.1337361,-153.3922309447566
1000000000,-154.2531432651967
