"PhaseNoise (modelFiles=crn65gplus_2d5_lk_v1d0.scs:ff_bip,crn65gplus_2d5_lk_v1d0.scs:ff_dio,crn65gplus_2d5_lk_v1d0.scs:ff_dio_33,crn65gplus_2d5_lk_v1d0.scs:ff_mim,crn65gplus_2d5_lk_v1d0.scs:ff_dio_dnw,crn65gplus_2d5_lk_v1d0.scs:ff_dio_18,crn65gplus_2d5_lk_v1d0.scs:ff_bip_npn,crn65gplus_2d5_lk_v1d0.scs:ff_33,crn65gplus_2d5_lk_v1d0.scs:ff_rfrtmom,crn65gplus_2d5_lk_v1d0.scs:ff_mos_cap_25,crn65gplus_2d5_lk_v1d0.scs:ff_18,crn65gplus_2d5_lk_v1d0.scs:ff_disres,crn65gplus_2d5_lk_v1d0.scs:ff_res,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos_33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_hvt,crn65gplus_2d5_lk_v1d0.scs:ff_rfmvar,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos_18,crn65gplus_2d5_lk_v1d0.scs:ff_na,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_lvt,crn65gplus_2d5_lk_v1d0.scs:ff_rfres_sa,crn65gplus_2d5_lk_v1d0.scs:ff_na33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_esd,crn65gplus_2d5_lk_v1d0.scs:ff_rfmim,crn65gplus_2d5_lk_v1d0.scs:ff_dio_25od33,crn65gplus_2d5_lk_v1d0.scs:ff_25od33,crn65gplus_2d5_lk_v1d0.scs:ff,crn65gplus_2d5_lk_v1d0.scs:ff_mos_cap,crn65gplus_2d5_lk_v1d0.scs:ff_dio_25,crn65gplus_2d5_lk_v1d0.scs:ff_dio_25ud18,crn65gplus_2d5_lk_v1d0.scs:ff_25,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos,crn65gplus_2d5_lk_v1d0.scs:ff_25ud18,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na25od33,crn65gplus_2d5_lk_v1d0.scs:ff_rfjvar,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos_25,crn65gplus_2d5_lk_v1d0.scs:ff_rtmom,crn65gplus_2d5_lk_v1d0.scs:ff_na25od33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na25,crn65gplus_2d5_lk_v1d0.scs:ff_rfres_rpo,crn65gplus_2d5_lk_v1d0.scs:ff_hvt,crn65gplus_2d5_lk_v1d0.scs:ff_rfind,crn65gplus_2d5_lk_v1d0.scs:ff_rfmvar_25,crn65gplus_2d5_lk_v1d0.scs:ff_na25,crn65gplus_2d5_lk_v1d0.scs:ff_lvt,ICP=9e-05,VDD=1.1,temperature=-40) X","PhaseNoise (modelFiles=crn65gplus_2d5_lk_v1d0.scs:ff_bip,crn65gplus_2d5_lk_v1d0.scs:ff_dio,crn65gplus_2d5_lk_v1d0.scs:ff_dio_33,crn65gplus_2d5_lk_v1d0.scs:ff_mim,crn65gplus_2d5_lk_v1d0.scs:ff_dio_dnw,crn65gplus_2d5_lk_v1d0.scs:ff_dio_18,crn65gplus_2d5_lk_v1d0.scs:ff_bip_npn,crn65gplus_2d5_lk_v1d0.scs:ff_33,crn65gplus_2d5_lk_v1d0.scs:ff_rfrtmom,crn65gplus_2d5_lk_v1d0.scs:ff_mos_cap_25,crn65gplus_2d5_lk_v1d0.scs:ff_18,crn65gplus_2d5_lk_v1d0.scs:ff_disres,crn65gplus_2d5_lk_v1d0.scs:ff_res,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos_33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_hvt,crn65gplus_2d5_lk_v1d0.scs:ff_rfmvar,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos_18,crn65gplus_2d5_lk_v1d0.scs:ff_na,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_lvt,crn65gplus_2d5_lk_v1d0.scs:ff_rfres_sa,crn65gplus_2d5_lk_v1d0.scs:ff_na33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_esd,crn65gplus_2d5_lk_v1d0.scs:ff_rfmim,crn65gplus_2d5_lk_v1d0.scs:ff_dio_25od33,crn65gplus_2d5_lk_v1d0.scs:ff_25od33,crn65gplus_2d5_lk_v1d0.scs:ff,crn65gplus_2d5_lk_v1d0.scs:ff_mos_cap,crn65gplus_2d5_lk_v1d0.scs:ff_dio_25,crn65gplus_2d5_lk_v1d0.scs:ff_dio_25ud18,crn65gplus_2d5_lk_v1d0.scs:ff_25,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos,crn65gplus_2d5_lk_v1d0.scs:ff_25ud18,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na25od33,crn65gplus_2d5_lk_v1d0.scs:ff_rfjvar,crn65gplus_2d5_lk_v1d0.scs:ff_rfmos_25,crn65gplus_2d5_lk_v1d0.scs:ff_rtmom,crn65gplus_2d5_lk_v1d0.scs:ff_na25od33,crn65gplus_2d5_lk_v1d0.scs:ff_dio_na25,crn65gplus_2d5_lk_v1d0.scs:ff_rfres_rpo,crn65gplus_2d5_lk_v1d0.scs:ff_hvt,crn65gplus_2d5_lk_v1d0.scs:ff_rfind,crn65gplus_2d5_lk_v1d0.scs:ff_rfmvar_25,crn65gplus_2d5_lk_v1d0.scs:ff_na25,crn65gplus_2d5_lk_v1d0.scs:ff_lvt,ICP=9e-05,VDD=1.1,temperature=-40) Y"
100,-196.2119567357309
138.0384264602885,-197.531862858677
190.5460717963247,-198.8472690294021
263.0267991895381,-200.1578099927256
363.0780547701012,-201.462958895867
501.1872336272721,-202.7619742460832
691.8309709189363,-204.0538313060093
954.9925860214356,-205.3371344593403
1318.256738556407,-206.6100072453278
1819.700858609983,-207.8699578650108
2511.886431509579,-209.1137207778781
3467.368504525315,-210.3370806424314
4786.300923226381,-211.5346946431807
6606.934480075956,-212.6999442630388
9120.108393559092,-213.824867410223
12589.25411794166,-214.9002424888916
17378.00828749374,-215.9159073378052
23988.32919019489,-216.8613809484491
33113.11214825908,-217.7267964223133
45708.81896148746,-218.504046204148
63095.73444801927,-219.187915955757
87096.35899560798,-219.7769089952186
120226.4434617412,-220.2735068495463
165958.6907437559,-220.6837804496519
229086.7652767771,-221.0164818862436
316227.7660168376,-221.2818946308269
436515.8322401654,-221.4907380779099
602559.586074357,-221.6533341730112
831763.77110267,-221.7791200686216
1148153.621496881,-221.8764821426376
1584893.192461112,-221.952786073807
2187761.62394955,-222.0143403489686
3019951.720402012,-222.0659470334571
4168693.834703348,-222.1101449358382
5754399.373371561,-222.1472750991228
7943282.347242803,-222.1770590720179
10964781.96143183,-222.2001629657325
15135612.48436206,-222.2183866684146
20892961.30854036,-222.23417173691
28840315.03126601,-222.2503125647534
39810717.05534965,-222.2696749954159
54954087.38576235,-222.2935954109066
75857757.50291823,-222.3197141621881
104712854.8050897,-222.3838780666693
144543977.0745924,-222.6633124431239
199526231.4968875,-223.1679649002763
275422870.3338161,-223.7699341745243
380189396.3205603,-224.3816919660538
524807460.2497714,-224.909463109155
724435960.0749884,-225.2972632273771
1000000000,-225.5473112816439
