"PhaseNoise (modelFiles=crn65gplus_2d5_lk_v1d0.scs:ss_bip,crn65gplus_2d5_lk_v1d0.scs:ss_dio,crn65gplus_2d5_lk_v1d0.scs:ss_dio_33,crn65gplus_2d5_lk_v1d0.scs:ss_mim,crn65gplus_2d5_lk_v1d0.scs:ss_dio_dnw,crn65gplus_2d5_lk_v1d0.scs:ss_dio_18,crn65gplus_2d5_lk_v1d0.scs:ss_bip_npn,crn65gplus_2d5_lk_v1d0.scs:ss_33,crn65gplus_2d5_lk_v1d0.scs:ss_rfrtmom,crn65gplus_2d5_lk_v1d0.scs:ss_mos_cap_25,crn65gplus_2d5_lk_v1d0.scs:ss_18,crn65gplus_2d5_lk_v1d0.scs:ss_disres,crn65gplus_2d5_lk_v1d0.scs:ss_res,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos_33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_hvt,crn65gplus_2d5_lk_v1d0.scs:ss_rfmvar,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos_18,crn65gplus_2d5_lk_v1d0.scs:ss_na,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_lvt,crn65gplus_2d5_lk_v1d0.scs:ss_rfres_sa,crn65gplus_2d5_lk_v1d0.scs:ss_na33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_esd,crn65gplus_2d5_lk_v1d0.scs:ss_rfmim,crn65gplus_2d5_lk_v1d0.scs:ss_dio_25od33,crn65gplus_2d5_lk_v1d0.scs:ss_25od33,crn65gplus_2d5_lk_v1d0.scs:ss,crn65gplus_2d5_lk_v1d0.scs:ss_mos_cap,crn65gplus_2d5_lk_v1d0.scs:ss_dio_25,crn65gplus_2d5_lk_v1d0.scs:ss_dio_25ud18,crn65gplus_2d5_lk_v1d0.scs:ss_25,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos,crn65gplus_2d5_lk_v1d0.scs:ss_25ud18,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na25od33,crn65gplus_2d5_lk_v1d0.scs:ss_rfjvar,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos_25,crn65gplus_2d5_lk_v1d0.scs:ss_rtmom,crn65gplus_2d5_lk_v1d0.scs:ss_na25od33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na25,crn65gplus_2d5_lk_v1d0.scs:ss_rfres_rpo,crn65gplus_2d5_lk_v1d0.scs:ss_hvt,crn65gplus_2d5_lk_v1d0.scs:ss_rfind,crn65gplus_2d5_lk_v1d0.scs:ss_rfmvar_25,crn65gplus_2d5_lk_v1d0.scs:ss_na25,crn65gplus_2d5_lk_v1d0.scs:ss_lvt,ICP=0.00032,VDD=0.9,temperature=125) X","PhaseNoise (modelFiles=crn65gplus_2d5_lk_v1d0.scs:ss_bip,crn65gplus_2d5_lk_v1d0.scs:ss_dio,crn65gplus_2d5_lk_v1d0.scs:ss_dio_33,crn65gplus_2d5_lk_v1d0.scs:ss_mim,crn65gplus_2d5_lk_v1d0.scs:ss_dio_dnw,crn65gplus_2d5_lk_v1d0.scs:ss_dio_18,crn65gplus_2d5_lk_v1d0.scs:ss_bip_npn,crn65gplus_2d5_lk_v1d0.scs:ss_33,crn65gplus_2d5_lk_v1d0.scs:ss_rfrtmom,crn65gplus_2d5_lk_v1d0.scs:ss_mos_cap_25,crn65gplus_2d5_lk_v1d0.scs:ss_18,crn65gplus_2d5_lk_v1d0.scs:ss_disres,crn65gplus_2d5_lk_v1d0.scs:ss_res,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos_33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_hvt,crn65gplus_2d5_lk_v1d0.scs:ss_rfmvar,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos_18,crn65gplus_2d5_lk_v1d0.scs:ss_na,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_lvt,crn65gplus_2d5_lk_v1d0.scs:ss_rfres_sa,crn65gplus_2d5_lk_v1d0.scs:ss_na33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_esd,crn65gplus_2d5_lk_v1d0.scs:ss_rfmim,crn65gplus_2d5_lk_v1d0.scs:ss_dio_25od33,crn65gplus_2d5_lk_v1d0.scs:ss_25od33,crn65gplus_2d5_lk_v1d0.scs:ss,crn65gplus_2d5_lk_v1d0.scs:ss_mos_cap,crn65gplus_2d5_lk_v1d0.scs:ss_dio_25,crn65gplus_2d5_lk_v1d0.scs:ss_dio_25ud18,crn65gplus_2d5_lk_v1d0.scs:ss_25,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos,crn65gplus_2d5_lk_v1d0.scs:ss_25ud18,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na25od33,crn65gplus_2d5_lk_v1d0.scs:ss_rfjvar,crn65gplus_2d5_lk_v1d0.scs:ss_rfmos_25,crn65gplus_2d5_lk_v1d0.scs:ss_rtmom,crn65gplus_2d5_lk_v1d0.scs:ss_na25od33,crn65gplus_2d5_lk_v1d0.scs:ss_dio_na25,crn65gplus_2d5_lk_v1d0.scs:ss_rfres_rpo,crn65gplus_2d5_lk_v1d0.scs:ss_hvt,crn65gplus_2d5_lk_v1d0.scs:ss_rfind,crn65gplus_2d5_lk_v1d0.scs:ss_rfmvar_25,crn65gplus_2d5_lk_v1d0.scs:ss_na25,crn65gplus_2d5_lk_v1d0.scs:ss_lvt,ICP=0.00032,VDD=0.9,temperature=125) Y"
100,-173.2457489371505
138.0384264602885,-174.6756962717097
190.5460717963247,-176.1006663881217
263.0267991895381,-177.5203525094183
363.0780547701012,-178.934362455014
501.1872336272721,-180.3421852806423
691.8309709189363,-181.7431463230411
954.9925860214356,-183.1363471514861
1318.256738556407,-184.5205862325926
1819.700858609983,-185.8942556036248
2511.886431509579,-187.2552088941399
3467.368504525315,-188.6005973112159
4786.300923226381,-189.9266738294702
6606.934480075956,-191.2285734640807
9120.108393559092,-192.5000912134269
12589.25411794166,-193.7335007239712
17378.00828749374,-194.919485261731
23988.32919019489,-196.0472814695849
33113.11214825908,-197.1051487418101
45708.81896148746,-198.0812455606351
63095.73444801927,-198.9648932693754
87096.35899560798,-199.7480426398909
120226.4434617412,-200.4265944198957
165958.6907437559,-201.0011745526895
229086.7652767771,-201.4771081825114
316227.7660168376,-201.8636308750115
436515.8322401654,-202.1726636772529
602559.586074357,-202.4176168771898
831763.77110267,-202.6126613182349
1148153.621496881,-202.7728219968112
1584893.192461112,-202.9152330200617
2187761.62394955,-203.0619951595334
3019951.720402012,-203.2451627248418
4168693.834703348,-203.5138757209166
5754399.373371561,-203.9410776895439
7943282.347242803,-204.6209333742129
10964781.96143183,-205.6421475779851
15135612.48436206,-207.035097613636
20892961.30854036,-208.7277902000392
28840315.03126601,-210.5525499832703
39810717.05534965,-212.295536800126
54954087.38576235,-213.7581151263806
75857757.50291823,-214.8187426153309
104712854.8050897,-215.4897919598955
144543977.0745924,-216.0122929610804
199526231.4968875,-217.0033056160481
275422870.3338161,-218.7408677486287
380189396.3205603,-220.2064413926462
524807460.2497714,-220.983130216322
724435960.0749884,-221.4573191406714
1000000000,-221.8239259007201
