"PhaseNoise (modelFiles=crn65gplus_2d5_lk_v1d0.scs:tt_bip,crn65gplus_2d5_lk_v1d0.scs:tt_dio,crn65gplus_2d5_lk_v1d0.scs:tt_dio_33,crn65gplus_2d5_lk_v1d0.scs:tt_mim,crn65gplus_2d5_lk_v1d0.scs:tt_dio_dnw,crn65gplus_2d5_lk_v1d0.scs:tt_dio_18,crn65gplus_2d5_lk_v1d0.scs:tt_bip_npn,crn65gplus_2d5_lk_v1d0.scs:tt_33,crn65gplus_2d5_lk_v1d0.scs:tt_rfrtmom,crn65gplus_2d5_lk_v1d0.scs:tt_mos_cap_25,crn65gplus_2d5_lk_v1d0.scs:tt_18,crn65gplus_2d5_lk_v1d0.scs:tt_disres,crn65gplus_2d5_lk_v1d0.scs:tt_res,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos_33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_hvt,crn65gplus_2d5_lk_v1d0.scs:tt_rfmvar,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos_18,crn65gplus_2d5_lk_v1d0.scs:tt_na,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_lvt,crn65gplus_2d5_lk_v1d0.scs:tt_rfres_sa,crn65gplus_2d5_lk_v1d0.scs:tt_na33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_esd,crn65gplus_2d5_lk_v1d0.scs:tt_rfmim,crn65gplus_2d5_lk_v1d0.scs:tt_dio_25od33,crn65gplus_2d5_lk_v1d0.scs:tt_25od33,crn65gplus_2d5_lk_v1d0.scs:tt,crn65gplus_2d5_lk_v1d0.scs:tt_mos_cap,crn65gplus_2d5_lk_v1d0.scs:tt_dio_25,crn65gplus_2d5_lk_v1d0.scs:tt_dio_25ud18,crn65gplus_2d5_lk_v1d0.scs:tt_25,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos,crn65gplus_2d5_lk_v1d0.scs:tt_25ud18,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na25od33,crn65gplus_2d5_lk_v1d0.scs:tt_rfjvar,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos_25,crn65gplus_2d5_lk_v1d0.scs:tt_rtmom,crn65gplus_2d5_lk_v1d0.scs:tt_na25od33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na25,crn65gplus_2d5_lk_v1d0.scs:tt_rfres_rpo,crn65gplus_2d5_lk_v1d0.scs:tt_hvt,crn65gplus_2d5_lk_v1d0.scs:tt_rfind,crn65gplus_2d5_lk_v1d0.scs:tt_rfmvar_25,crn65gplus_2d5_lk_v1d0.scs:tt_na25,crn65gplus_2d5_lk_v1d0.scs:tt_lvt,ICP=0.00015,VDD=1,temperature=60) X","PhaseNoise (modelFiles=crn65gplus_2d5_lk_v1d0.scs:tt_bip,crn65gplus_2d5_lk_v1d0.scs:tt_dio,crn65gplus_2d5_lk_v1d0.scs:tt_dio_33,crn65gplus_2d5_lk_v1d0.scs:tt_mim,crn65gplus_2d5_lk_v1d0.scs:tt_dio_dnw,crn65gplus_2d5_lk_v1d0.scs:tt_dio_18,crn65gplus_2d5_lk_v1d0.scs:tt_bip_npn,crn65gplus_2d5_lk_v1d0.scs:tt_33,crn65gplus_2d5_lk_v1d0.scs:tt_rfrtmom,crn65gplus_2d5_lk_v1d0.scs:tt_mos_cap_25,crn65gplus_2d5_lk_v1d0.scs:tt_18,crn65gplus_2d5_lk_v1d0.scs:tt_disres,crn65gplus_2d5_lk_v1d0.scs:tt_res,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos_33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_hvt,crn65gplus_2d5_lk_v1d0.scs:tt_rfmvar,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos_18,crn65gplus_2d5_lk_v1d0.scs:tt_na,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_lvt,crn65gplus_2d5_lk_v1d0.scs:tt_rfres_sa,crn65gplus_2d5_lk_v1d0.scs:tt_na33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_esd,crn65gplus_2d5_lk_v1d0.scs:tt_rfmim,crn65gplus_2d5_lk_v1d0.scs:tt_dio_25od33,crn65gplus_2d5_lk_v1d0.scs:tt_25od33,crn65gplus_2d5_lk_v1d0.scs:tt,crn65gplus_2d5_lk_v1d0.scs:tt_mos_cap,crn65gplus_2d5_lk_v1d0.scs:tt_dio_25,crn65gplus_2d5_lk_v1d0.scs:tt_dio_25ud18,crn65gplus_2d5_lk_v1d0.scs:tt_25,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos,crn65gplus_2d5_lk_v1d0.scs:tt_25ud18,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na25od33,crn65gplus_2d5_lk_v1d0.scs:tt_rfjvar,crn65gplus_2d5_lk_v1d0.scs:tt_rfmos_25,crn65gplus_2d5_lk_v1d0.scs:tt_rtmom,crn65gplus_2d5_lk_v1d0.scs:tt_na25od33,crn65gplus_2d5_lk_v1d0.scs:tt_dio_na25,crn65gplus_2d5_lk_v1d0.scs:tt_rfres_rpo,crn65gplus_2d5_lk_v1d0.scs:tt_hvt,crn65gplus_2d5_lk_v1d0.scs:tt_rfind,crn65gplus_2d5_lk_v1d0.scs:tt_rfmvar_25,crn65gplus_2d5_lk_v1d0.scs:tt_na25,crn65gplus_2d5_lk_v1d0.scs:tt_lvt,ICP=0.00015,VDD=1,temperature=60) Y"
100,-194.3761329353451
138.0384264602885,-195.6707319676686
190.5460717963247,-196.9621010578196
263.0267991895381,-198.2499404077663
363.0780547701012,-199.53381440947
501.1872336272721,-200.8131083326999
691.8309709189363,-202.0869720165526
954.9925860214356,-203.354247410769
1318.256738556407,-204.6133766685723
1819.700858609983,-205.8622879202538
2511.886431509579,-207.0982573982368
3467.368504525315,-208.3177500719727
4786.300923226381,-209.5162475144548
6606.934480075956,-210.6880825938537
9120.108393559092,-211.8263164551569
12589.25411794166,-212.9227128815915
17378.00828749374,-213.9678831105651
23988.32919019489,-214.95167886824
33113.11214825908,-215.8638856481908
45708.81896148746,-216.6951975039349
63095.73444801927,-217.4383435511586
87096.35899560798,-218.0891248740749
120226.4434617412,-218.6470766484643
165958.6907437559,-219.1155466162288
229086.7652767771,-219.5011613625199
316227.7660168376,-219.8128459475397
436515.8322401654,-220.0606691192324
602559.586074357,-220.2547671867925
831763.77110267,-220.4044935336044
1148153.621496881,-220.5178199129899
1584893.192461112,-220.6009427487651
2187761.62394955,-220.6580778468874
3019951.720402012,-220.6916334533612
4168693.834703348,-220.7033115103802
5754399.373371561,-220.6965316005409
7943282.347242803,-220.6785671019232
10964781.96143183,-220.6588574082658
15135612.48436206,-220.6441504206598
20892961.30854036,-220.6362730641608
28840315.03126601,-220.6339659513623
39810717.05534965,-220.6351219747992
54954087.38576235,-220.6370569721989
75857757.50291823,-220.6356022967197
104712854.8050897,-220.6405355685917
144543977.0745924,-220.7618464458718
199526231.4968875,-221.116730404496
275422870.3338161,-221.6105468322786
380189396.3205603,-222.1665537532286
524807460.2497714,-222.7136443449511
724435960.0749884,-223.1733554049867
1000000000,-223.5057084402655
